"ID","Address","City","State","Zipcode"
1922,"3442 Pecan St","Irvine","CA","92606"
1925,"7 Chattanooga","Irvine","CA","92620"
1927,"47 Sconset Ln","Irvine","CA","92620"
1928,"20 Glorieta W","Irvine","CA","92620"
1929,"7 Laurel Tree Ln","Irvine","CA","92612"
1930,"17 Field","Irvine","CA","92620"
1932,"23 Coromande","Irvine","CA","92614"
1935,"5 Ninos","Irvine","CA","92620"
1936,"3542 Fenn St","Irvine","CA","92614"
1937,"48 Meadowgrass","Irvine","CA","92604"
1939,"26 Silkberry","Irvine","CA","92614"
1940,"37 Farragut","Irvine","CA","92620"
1941,"13 Ash Tree Ln, #90","Irvine","CA","92612"
1942,"26 Highfield Gln","Irvine","CA","92618"
1943,"39 Grant","Irvine","CA","92620"
1944,"47 Washington","Irvine","CA","92606"
1945,"10 Gillman St","Irvine","CA","92612"
1946,"5 Red Rock","Irvine","CA","92604"
1947,"28 Fort Sumter","Irvine","CA","92620"
1949,"9 Bascom St","Irvine","CA","92612"
1950,"20 Colorado","Irvine","CA","92606"
1951,"4101 Blackfin Ave","Irvine","CA","92620"
1953,"3 Barcelona","Irvine","CA","92614"
1954,"10 Mountain Ash","Irvine","CA","92604"
1955,"18612 Paseo Pizarro","Irvine","CA","92603"
1956,"4 Ensueno W","Irvine","CA","92620"
1957,"40 Washington","Irvine","CA","92606"
1958,"25 Bull Run","Irvine","CA","92620"
1959,"14 Glenoaks","Irvine","CA","92618"
1960,"24 Arbusto","Irvine","CA","92606"
1961,"31 Cypress Tree Ln","Irvine","CA","92612"
1962,"33 Granada","Irvine","CA","92602"
1964,"21 Buckthorn","Irvine","CA","92604"
1965,"3 Foxglove Way","Irvine","CA","92612"
1968,"5 Salina","Irvine","CA","92614"
1969,"16 Brookstone","Irvine","CA","92604"
1971,"11 Campanero W","Irvine","CA","92620"
1972,"8 Atwater","Irvine","CA","92602"
1973,"19 Alba W","Irvine","CA","92620"
1974,"4072 Salacia Dr","Irvine","CA","92620"
1975,"45 Alexandria","Irvine","CA","92614"
1976,"1 Yorktown","Irvine","CA","92620"
1978,"11 Candela","Irvine","CA","92620"
1980,"62 Cliffwood","Irvine","CA","92602"
1981,"12 Alameda","Irvine","CA","92620"
1982,"4982 Rochelle Ave","Irvine","CA","92604"
1984,"32 Meadow Gln","Irvine","CA","92602"
1985,"15361 Nimes Cir","Irvine","CA","92604"
1988,"74 Loganberry","Irvine","CA","92620"
1990,"32 Silkberry","Irvine","CA","92614"
1991,"10 Cedar Tree Ln","Irvine","CA","92612"
1992,"66 Calavera","Irvine","CA","92606"
1995,"5 Monitor","Irvine","CA","92620"
1996,"13772 Andele Way","Irvine","CA","92620"
1997,"1 Eden","Irvine","CA","92620"
1998,"1 Candlewood","Irvine","CA","92620"
1999,"18 Bunker Hl","Irvine","CA","92620"
2000,"42 Bunker Hl","Irvine","CA","92620"
2002,"13822 Solitaire Way","Irvine","CA","92620"
2004,"17 Blackswan","Irvine","CA","92604"
2005,"2 Carnelian","Irvine","CA","92614"
2006,"33 Bennington","Irvine","CA","92620"
2008,"8 Revere","Irvine","CA","92620"
2009,"8 S Santa Teresita","Irvine","CA","92606"
2010,"23 Fortuna W","Irvine","CA","92620"
2011,"34 Deer Spg","Irvine","CA","92604"
